period_code,value,indicator_name,category_name
2024M12,248.3,Consumer Price Index,All products
2024M11,243.9,Consumer Price Index,All products
2024M10,237.8,Consumer Price Index,All products
2024M09,235.8,Consumer Price Index,All products
2024M08,229.4,Consumer Price Index,All products
2024M07,231,Consumer Price Index,All products
2024M06,226.4,Consumer Price Index,All products
2024M05,220,Consumer Price Index,All products
2024M04,213.3,Consumer Price Index,All products
2024M03,209.6,Consumer Price Index,All products
2024M02,207.8,Consumer Price Index,All products
2024M01,204.6,Consumer Price Index,All products
2023M12,200.6,Consumer Price Index,All products
2023M11,198.3,Consumer Price Index,All products
2023M10,194.8,Consumer Price Index,All products
2023M09,194.2,Consumer Price Index,All products
2023M08,190.6,Consumer Price Index,All products
2023M07,191,Consumer Price Index,All products
2023M06,184.4,Consumer Price Index,All products
2023M05,178.7,Consumer Price Index,All products
2023M04,170.6,Consumer Price Index,All products
2023M03,166.6,Consumer Price Index,All products
2023M02,168.7,Consumer Price Index,All products
2023M01,165.6,Consumer Price Index,All products
2022M12,162.8,Consumer Price Index,All products
2022M11,156.8,Consumer Price Index,All products
2022M10,144.4,Consumer Price Index,All products
2022M09,140.6,Consumer Price Index,All products
2022M08,136,Consumer Price Index,All products
2022M07,133.5,Consumer Price Index,All products
2022M06,129.4,Consumer Price Index,All products
2022M05,125.7,Consumer Price Index,All products
2022M04,120.8,Consumer Price Index,All products
2022M03,114.9,Consumer Price Index,All products
2022M02,110.4,Consumer Price Index,All products
2022M01,107.8,Consumer Price Index,All products
2021M12,105.6,Consumer Price Index,All products
2021M11,104.3,Consumer Price Index,All products
2021M10,102.9,Consumer Price Index,All products
2021M09,102.2,Consumer Price Index,All products
2021M08,101.6,Consumer Price Index,All products
2021M07,101.3,Consumer Price Index,All products
2021M06,99.7,Consumer Price Index,All products
2021M05,98.4,Consumer Price Index,All products
2021M04,97.7,Consumer Price Index,All products
2021M03,96.2,Consumer Price Index,All products
2021M02,95.4,Consumer Price Index,All products
2021M01,94.7,Consumer Price Index,All products
2020M12,93.8,Consumer Price Index,All products
2020M11,92.9,Consumer Price Index,All products
2020M10,92.6,Consumer Price Index,All products
2020M09,92.5,Consumer Price Index,All products
2020M08,92.6,Consumer Price Index,All products
2020M07,93,Consumer Price Index,All products
2020M06,92.5,Consumer Price Index,All products
2020M05,91.6,Consumer Price Index,All products
2020M04,90,Consumer Price Index,All products
2020M03,87.2,Consumer Price Index,All products
2020M02,86.5,Consumer Price Index,All products
2020M01,86.1,Consumer Price Index,All products
2019M12,84.9,Consumer Price Index,All products
2019M11,84.7,Consumer Price Index,All products
2019M10,84.1,Consumer Price Index,All products
2019M09,83.8,Consumer Price Index,All products
2019M08,83.9,Consumer Price Index,All products
2019M07,83.5,Consumer Price Index,All products
2019M06,83.2,Consumer Price Index,All products
2019M05,82.3,Consumer Price Index,All products
2019M04,81.4,Consumer Price Index,All products
2019M03,80.9,Consumer Price Index,All products
2019M02,80.3,Consumer Price Index,All products
2019M01,79.9,Consumer Price Index,All products
2018M12,78.8,Consumer Price Index,All products
2018M11,78.4,Consumer Price Index,All products
2018M10,78.2,Consumer Price Index,All products
2018M09,77.9,Consumer Price Index,All products
2018M08,77.9,Consumer Price Index,All products
2018M07,77.7,Consumer Price Index,All products
2018M06,77.4,Consumer Price Index,All products
2018M05,76.9,Consumer Price Index,All products
2018M04,76.5,Consumer Price Index,All products
2018M03,76,Consumer Price Index,All products
2018M02,75.7,Consumer Price Index,All products
2018M01,75.5,Consumer Price Index,All products
2017M12,74.5,Consumer Price Index,All products
2017M11,73.7,Consumer Price Index,All products
2017M10,73,Consumer Price Index,All products
2017M09,72.4,Consumer Price Index,All products
2017M08,72.4,Consumer Price Index,All products
2017M07,72.5,Consumer Price Index,All products
2017M06,72,Consumer Price Index,All products
2017M05,71.4,Consumer Price Index,All products
2017M04,70.9,Consumer Price Index,All products
2017M03,69.7,Consumer Price Index,All products
2017M02,68.9,Consumer Price Index,All products
2017M01,68.4,Consumer Price Index,All products
2016M12,66.6,Consumer Price Index,All products
2016M11,66,Consumer Price Index,All products
2016M10,65.4,Consumer Price Index,All products
2016M09,64.5,Consumer Price Index,All products
2016M08,64.4,Consumer Price Index,All products
2016M07,64.8,Consumer Price Index,All products
2016M06,64.3,Consumer Price Index,All products
2016M05,63.4,Consumer Price Index,All products
2016M04,62.7,Consumer Price Index,All products
2016M03,61.8,Consumer Price Index,All products
2016M02,60.8,Consumer Price Index,All products
2016M01,60.4,Consumer Price Index,All products
2015M12,57.7,Consumer Price Index,All products
2015M11,57.1,Consumer Price Index,All products
2015M10,56.5,Consumer Price Index,All products
2015M09,55,Consumer Price Index,All products
2015M08,55.1,Consumer Price Index,All products
2015M07,55.5,Consumer Price Index,All products
2015M06,54.3,Consumer Price Index,All products
2015M05,53.3,Consumer Price Index,All products
2015M04,52.8,Consumer Price Index,All products
2015M03,51.9,Consumer Price Index,All products
2015M02,51.3,Consumer Price Index,All products
2015M01,50.7,Consumer Price Index,All products
