period_code,category_name,value
2024M12,Food,277.5
2024M12,Food and non-alcoholic beverages,277.5
2024M12,Non-food,277.5
2024M12,"Alcoholic beverages, tobacco and narcotics",256.5
2024M12,Clothing and footwear,216.9
2024M12,Education services,151.3
2024M12,"Furnishings, household equipment and routine household maintenance",267.7
2024M12,Health,205.3
2024M12,"Housing, water, electricity, gas and other fuels",295.6
2024M12,Information and communication,161.8
2024M12,Insurance and financial services,140.9
2024M12,"Personal care, social protection and miscellaneous goods and services",265.9
2024M12,"Recreation, sport and culture",220.4
2024M12,Restaurants and accommodation services,172.6
2024M12,Transport,226.1
2024M11,Food,270
2024M11,Food and non-alcoholic beverages,270
2024M11,Non-food,270
2024M11,"Alcoholic beverages, tobacco and narcotics",252.6
2024M11,Clothing and footwear,214.1
2024M11,Education services,151.1
2024M11,"Furnishings, household equipment and routine household maintenance",265.4
2024M11,Health,203.7
2024M11,"Housing, water, electricity, gas and other fuels",290.8
2024M11,Information and communication,161.2
2024M11,Insurance and financial services,140.7
2024M11,"Personal care, social protection and miscellaneous goods and services",263.6
2024M11,"Recreation, sport and culture",218.3
2024M11,Restaurants and accommodation services,171.8
2024M11,Transport,225.7
2024M10,Food,260.2
2024M10,Food and non-alcoholic beverages,260.2
2024M10,Non-food,260.1
2024M10,"Alcoholic beverages, tobacco and narcotics",246.5
2024M10,Clothing and footwear,209.9
2024M10,Education services,150.5
2024M10,"Furnishings, household equipment and routine household maintenance",263.1
2024M10,Health,202.5
2024M10,"Housing, water, electricity, gas and other fuels",284.3
2024M10,Information and communication,160.6
2024M10,Insurance and financial services,140.5
2024M10,"Personal care, social protection and miscellaneous goods and services",260
2024M10,"Recreation, sport and culture",215
2024M10,Restaurants and accommodation services,171.3
2024M10,Transport,223.7
2024M09,Food,259
2024M09,Food and non-alcoholic beverages,259
2024M09,Non-food,259
2024M09,"Alcoholic beverages, tobacco and narcotics",236.1
2024M09,Clothing and footwear,206.3
2024M09,Education services,149.7
2024M09,"Furnishings, household equipment and routine household maintenance",256.9
2024M09,Health,199.2
2024M09,"Housing, water, electricity, gas and other fuels",280.1
2024M09,Information and communication,160.8
2024M09,Insurance and financial services,135.6
2024M09,"Personal care, social protection and miscellaneous goods and services",254
2024M09,"Recreation, sport and culture",211.7
2024M09,Restaurants and accommodation services,170.4
2024M09,Transport,223.4
2024M08,Food,249
2024M08,Food and non-alcoholic beverages,249
2024M08,Non-food,249
2024M08,"Alcoholic beverages, tobacco and narcotics",226.9
2024M08,Clothing and footwear,202.6
2024M08,Education services,147.5
2024M08,"Furnishings, household equipment and routine household maintenance",250.5
2024M08,Health,194.9
2024M08,"Housing, water, electricity, gas and other fuels",276.7
2024M08,Information and communication,157.2
2024M08,Insurance and financial services,132.9
2024M08,"Personal care, social protection and miscellaneous goods and services",246.1
2024M08,"Recreation, sport and culture",210.5
2024M08,Restaurants and accommodation services,170
2024M08,Transport,221.9
2024M07,Food,254.7
2024M07,Food and non-alcoholic beverages,254.7
2024M07,Non-food,254.7
2024M07,"Alcoholic beverages, tobacco and narcotics",229.4
2024M07,Clothing and footwear,199.4
2024M07,Education services,146.8
2024M07,"Furnishings, household equipment and routine household maintenance",254.8
2024M07,Health,195.6
2024M07,"Housing, water, electricity, gas and other fuels",270.3
2024M07,Information and communication,154.4
2024M07,Insurance and financial services,131.6
2024M07,"Personal care, social protection and miscellaneous goods and services",248.8
2024M07,"Recreation, sport and culture",207.4
2024M07,Restaurants and accommodation services,166.6
2024M07,Transport,223.7
2024M06,Food,250.5
2024M06,Food and non-alcoholic beverages,250.5
2024M06,Non-food,250.5
2024M06,"Alcoholic beverages, tobacco and narcotics",228.4
2024M06,Clothing and footwear,194.6
2024M06,Education services,144.7
2024M06,"Furnishings, household equipment and routine household maintenance",249.1
2024M06,Health,189.3
2024M06,"Housing, water, electricity, gas and other fuels",258.1
2024M06,Information and communication,151.6
2024M06,Insurance and financial services,124.8
2024M06,"Personal care, social protection and miscellaneous goods and services",241
2024M06,"Recreation, sport and culture",202.8
2024M06,Restaurants and accommodation services,163.9
2024M06,Transport,221.5
2024M05,Food,238.4
2024M05,Food and non-alcoholic beverages,238.4
2024M05,Non-food,238.4
2024M05,"Alcoholic beverages, tobacco and narcotics",222.9
2024M05,Clothing and footwear,192.2
2024M05,Education services,144.6
2024M05,"Furnishings, household equipment and routine household maintenance",244.6
2024M05,Health,187.5
2024M05,"Housing, water, electricity, gas and other fuels",255.7
2024M05,Information and communication,151.2
2024M05,Insurance and financial services,123.9
2024M05,"Personal care, social protection and miscellaneous goods and services",238.6
2024M05,"Recreation, sport and culture",201
2024M05,Restaurants and accommodation services,162.6
2024M05,Transport,220.4
2024M04,Food,232.2
2024M04,Food and non-alcoholic beverages,232.2
2024M04,Non-food,232.2
2024M04,"Alcoholic beverages, tobacco and narcotics",219
2024M04,Clothing and footwear,189.8
2024M04,Education services,137
2024M04,"Furnishings, household equipment and routine household maintenance",239.2
2024M04,Health,185
2024M04,"Housing, water, electricity, gas and other fuels",251.6
2024M04,Information and communication,148.5
2024M04,Insurance and financial services,123.9
2024M04,"Personal care, social protection and miscellaneous goods and services",236.7
2024M04,"Recreation, sport and culture",197.6
2024M04,Restaurants and accommodation services,160.9
2024M04,Transport,199.3
2024M03,Food,227.4
2024M03,Food and non-alcoholic beverages,227.4
2024M03,Non-food,227.4
2024M03,"Alcoholic beverages, tobacco and narcotics",215.9
2024M03,Clothing and footwear,188
2024M03,Education services,136.6
2024M03,"Furnishings, household equipment and routine household maintenance",237.4
2024M03,Health,181
2024M03,"Housing, water, electricity, gas and other fuels",244.1
2024M03,Information and communication,148
2024M03,Insurance and financial services,123.4
2024M03,"Personal care, social protection and miscellaneous goods and services",233.5
2024M03,"Recreation, sport and culture",196
2024M03,Restaurants and accommodation services,157.3
2024M03,Transport,197.3
2024M02,Food,225
2024M02,Food and non-alcoholic beverages,225
2024M02,Non-food,225
2024M02,"Alcoholic beverages, tobacco and narcotics",212.2
2024M02,Clothing and footwear,187.2
2024M02,Education services,135.6
2024M02,"Furnishings, household equipment and routine household maintenance",236.4
2024M02,Health,179.4
2024M02,"Housing, water, electricity, gas and other fuels",243.2
2024M02,Information and communication,147.9
2024M02,Insurance and financial services,123.4
2024M02,"Personal care, social protection and miscellaneous goods and services",232.8
2024M02,"Recreation, sport and culture",195.4
2024M02,Restaurants and accommodation services,155.6
2024M02,Transport,195.2
2024M01,Food,220.7
2024M01,Food and non-alcoholic beverages,220.7
2024M01,Non-food,220.7
2024M01,"Alcoholic beverages, tobacco and narcotics",207
2024M01,Clothing and footwear,184.2
2024M01,Education services,133
2024M01,"Furnishings, household equipment and routine household maintenance",234.5
2024M01,Health,175.6
2024M01,"Housing, water, electricity, gas and other fuels",241.8
2024M01,Information and communication,146.2
2024M01,Insurance and financial services,122.5
2024M01,"Personal care, social protection and miscellaneous goods and services",229.5
2024M01,"Recreation, sport and culture",191.6
2024M01,Restaurants and accommodation services,150.8
2024M01,Transport,194.5
2023M12,Food,217.2
2023M12,Food and non-alcoholic beverages,217.2
2023M12,Non-food,217.2
2023M12,"Alcoholic beverages, tobacco and narcotics",199.7
2023M12,Clothing and footwear,180.7
2023M12,Education services,127.1
2023M12,"Furnishings, household equipment and routine household maintenance",229.4
2023M12,Health,169.1
2023M12,"Housing, water, electricity, gas and other fuels",234
2023M12,Information and communication,144.4
2023M12,Insurance and financial services,120.9
2023M12,"Personal care, social protection and miscellaneous goods and services",222.8
2023M12,"Recreation, sport and culture",187.8
2023M12,Restaurants and accommodation services,148.1
2023M12,Transport,193.5
2023M11,Food,214.4
2023M11,Food and non-alcoholic beverages,214.4
