period_code,value,indicator_name,category_name
2024M12,1.8,Month-on-month inflation (%),All products
2024M11,2.6,Month-on-month inflation (%),All products
2024M10,0.9,Month-on-month inflation (%),All products
2024M09,2.8,Month-on-month inflation (%),All products
2024M08,-0.7,Month-on-month inflation (%),All products
2024M07,2,Month-on-month inflation (%),All products
2024M06,2.9,Month-on-month inflation (%),All products
2024M05,3.2,Month-on-month inflation (%),All products
2024M04,1.8,Month-on-month inflation (%),All products
2024M03,0.8,Month-on-month inflation (%),All products
2024M02,1.6,Month-on-month inflation (%),All products
2024M01,2,Month-on-month inflation (%),All products
2023M12,1.2,Month-on-month inflation (%),All products
2023M11,1.8,Month-on-month inflation (%),All products
2023M10,0.3,Month-on-month inflation (%),All products
2023M09,1.9,Month-on-month inflation (%),All products
2023M08,-0.2,Month-on-month inflation (%),All products
2023M07,3.6,Month-on-month inflation (%),All products
2023M06,3.2,Month-on-month inflation (%),All products
2023M05,4.8,Month-on-month inflation (%),All products
2023M04,2.4,Month-on-month inflation (%),All products
2023M03,-1.2,Month-on-month inflation (%),All products
2023M02,1.9,Month-on-month inflation (%),All products
2023M01,1.7,Month-on-month inflation (%),All products
2022M12,3.8,Month-on-month inflation (%),All products
2022M11,8.6,Month-on-month inflation (%),All products
2022M10,2.7,Month-on-month inflation (%),All products
2022M09,3.3,Month-on-month inflation (%),All products
2022M08,1.9,Month-on-month inflation (%),All products
2022M07,3.1,Month-on-month inflation (%),All products
2022M06,3,Month-on-month inflation (%),All products
2022M05,4.1,Month-on-month inflation (%),All products
2022M04,5.1,Month-on-month inflation (%),All products
2022M03,4,Month-on-month inflation (%),All products
2022M02,2.4,Month-on-month inflation (%),All products
2022M01,2.1,Month-on-month inflation (%),All products
2021M12,1.2,Month-on-month inflation (%),All products
2021M11,1.4,Month-on-month inflation (%),All products
2021M10,0.6,Month-on-month inflation (%),All products
2021M09,0.6,Month-on-month inflation (%),All products
2021M08,0.3,Month-on-month inflation (%),All products
2021M07,1.6,Month-on-month inflation (%),All products
2021M06,1.3,Month-on-month inflation (%),All products
2021M05,0.8,Month-on-month inflation (%),All products
2021M04,1.5,Month-on-month inflation (%),All products
2021M03,0.9,Month-on-month inflation (%),All products
2021M02,0.8,Month-on-month inflation (%),All products
2021M01,0.9,Month-on-month inflation (%),All products
2020M12,0.9,Month-on-month inflation (%),All products
2020M11,0.3,Month-on-month inflation (%),All products
2020M10,0.2,Month-on-month inflation (%),All products
2020M09,-0.2,Month-on-month inflation (%),All products
2020M08,-0.4,Month-on-month inflation (%),All products
2020M07,0.6,Month-on-month inflation (%),All products
2020M06,1,Month-on-month inflation (%),All products
2020M05,1.7,Month-on-month inflation (%),All products
2020M04,3.2,Month-on-month inflation (%),All products
2020M03,0.8,Month-on-month inflation (%),All products
2020M02,0.4,Month-on-month inflation (%),All products
2020M01,1.5,Month-on-month inflation (%),All products
2019M12,0.3,Month-on-month inflation (%),All products
2019M11,0.6,Month-on-month inflation (%),All products
