period_code,value,indicator_name,category_name
2024M12,23.8,Year-on-year inflation (%),All products
2024M11,23,Year-on-year inflation (%),All products
2024M10,22.1,Year-on-year inflation (%),All products
2024M09,21.5,Year-on-year inflation (%),All products
2024M08,20.4,Year-on-year inflation (%),All products
2024M07,20.9,Year-on-year inflation (%),All products
2024M06,22.8,Year-on-year inflation (%),All products
2024M05,23.1,Year-on-year inflation (%),All products
2024M04,25.1,Year-on-year inflation (%),All products
2024M03,25.8,Year-on-year inflation (%),All products
2024M02,23.2,Year-on-year inflation (%),All products
2024M01,23.5,Year-on-year inflation (%),All products
2023M12,23.2,Year-on-year inflation (%),All products
2023M11,26.4,Year-on-year inflation (%),All products
2023M10,34.9,Year-on-year inflation (%),All products
2023M09,38.1,Year-on-year inflation (%),All products
2023M08,40.1,Year-on-year inflation (%),All products
2023M07,43.1,Year-on-year inflation (%),All products
2023M06,42.5,Year-on-year inflation (%),All products
2023M05,42.2,Year-on-year inflation (%),All products
2023M04,41.2,Year-on-year inflation (%),All products
2023M03,45,Year-on-year inflation (%),All products
2023M02,52.8,Year-on-year inflation (%),All products
2023M01,53.6,Year-on-year inflation (%),All products
2022M12,54.1,Year-on-year inflation (%),All products
2022M11,50.3,Year-on-year inflation (%),All products
2022M10,40.4,Year-on-year inflation (%),All products
2022M09,37.5,Year-on-year inflation (%),All products
2022M08,33.9,Year-on-year inflation (%),All products
2022M07,31.7,Year-on-year inflation (%),All products
2022M06,29.8,Year-on-year inflation (%),All products
2022M05,27.6,Year-on-year inflation (%),All products
2022M04,23.6,Year-on-year inflation (%),All products
2022M03,19.4,Year-on-year inflation (%),All products
2022M02,15.7,Year-on-year inflation (%),All products
2022M01,13.9,Year-on-year inflation (%),All products
2021M12,12.6,Year-on-year inflation (%),All products
2021M11,12.3,Year-on-year inflation (%),All products
2021M10,11,Year-on-year inflation (%),All products
2021M09,10.6,Year-on-year inflation (%),All products
2021M08,9.7,Year-on-year inflation (%),All products
2021M07,9,Year-on-year inflation (%),All products
2021M06,7.8,Year-on-year inflation (%),All products
2021M05,7.5,Year-on-year inflation (%),All products
2021M04,8.5,Year-on-year inflation (%),All products
2021M03,10.3,Year-on-year inflation (%),All products
2021M02,10.3,Year-on-year inflation (%),All products
2021M01,9.9,Year-on-year inflation (%),All products
2020M12,10.5,Year-on-year inflation (%),All products
2020M11,9.8,Year-on-year inflation (%),All products
2020M10,10.1,Year-on-year inflation (%),All products
2020M09,10.3,Year-on-year inflation (%),All products
2020M08,10.4,Year-on-year inflation (%),All products
2020M07,11.3,Year-on-year inflation (%),All products
2020M06,11.1,Year-on-year inflation (%),All products
2020M05,11.2,Year-on-year inflation (%),All products
2020M04,10.5,Year-on-year inflation (%),All products
2020M03,7.7,Year-on-year inflation (%),All products
2020M02,7.7,Year-on-year inflation (%),All products
2020M01,7.7,Year-on-year inflation (%),All products
2019M12,7.8,Year-on-year inflation (%),All products
2019M11,8,Year-on-year inflation (%),All products
2019M10,7.6,Year-on-year inflation (%),All products
2019M09,7.5,Year-on-year inflation (%),All products
2019M08,7.7,Year-on-year inflation (%),All products
2019M07,7.5,Year-on-year inflation (%),All products
2019M06,7.5,Year-on-year inflation (%),All products
2019M05,7,Year-on-year inflation (%),All products
2019M04,6.5,Year-on-year inflation (%),All products
2019M03,6.5,Year-on-year inflation (%),All products
2019M02,6.1,Year-on-year inflation (%),All products
2019M01,5.9,Year-on-year inflation (%),All products
2018M12,5.8,Year-on-year inflation (%),All products
2018M11,6.3,Year-on-year inflation (%),All products
2018M10,7,Year-on-year inflation (%),All products
2018M09,7.7,Year-on-year inflation (%),All products
2018M08,7.6,Year-on-year inflation (%),All products
2018M07,7.2,Year-on-year inflation (%),All products
2018M06,7.5,Year-on-year inflation (%),All products
2018M05,7.8,Year-on-year inflation (%),All products
2018M04,8,Year-on-year inflation (%),All products
2018M03,9,Year-on-year inflation (%),All products
2018M02,9.9,Year-on-year inflation (%),All products
2018M01,10.3,Year-on-year inflation (%),All products
2017M12,11.8,Year-on-year inflation (%),All products
2017M11,11.7,Year-on-year inflation (%),All products
2017M10,11.6,Year-on-year inflation (%),All products
2017M09,12.2,Year-on-year inflation (%),All products
2017M08,12.3,Year-on-year inflation (%),All products
2017M07,11.9,Year-on-year inflation (%),All products
2017M06,12.1,Year-on-year inflation (%),All products
2017M05,12.6,Year-on-year inflation (%),All products
2017M04,13,Year-on-year inflation (%),All products
2017M03,12.8,Year-on-year inflation (%),All products
2017M02,13.2,Year-on-year inflation (%),All products
2017M01,13.3,Year-on-year inflation (%),All products
2016M12,15.4,Year-on-year inflation (%),All products
2016M11,15.5,Year-on-year inflation (%),All products
2016M10,15.8,Year-on-year inflation (%),All products
2016M09,17.2,Year-on-year inflation (%),All products
2016M08,16.9,Year-on-year inflation (%),All products
2016M07,16.7,Year-on-year inflation (%),All products
2016M06,18.4,Year-on-year inflation (%),All products
2016M05,18.9,Year-on-year inflation (%),All products
2016M04,18.7,Year-on-year inflation (%),All products
2016M03,19.2,Year-on-year inflation (%),All products
2016M02,18.5,Year-on-year inflation (%),All products
2016M01,19,Year-on-year inflation (%),All products
2015M12,17.7,Year-on-year inflation (%),All products
2015M11,17.6,Year-on-year inflation (%),All products
2015M10,17.4,Year-on-year inflation (%),All products
2015M09,17.4,Year-on-year inflation (%),All products
2015M08,17.3,Year-on-year inflation (%),All products
2015M07,17.9,Year-on-year inflation (%),All products
2015M06,17.1,Year-on-year inflation (%),All products
2015M05,16.9,Year-on-year inflation (%),All products
2015M04,16.8,Year-on-year inflation (%),All products
2015M03,16.6,Year-on-year inflation (%),All products
2015M02,16.5,Year-on-year inflation (%),All products
2015M01,16.4,Year-on-year inflation (%),All products
